Grid,Length,Width,Crows,Time
LV6,0.08,0.1,0,3:36 PM
LV16,0.08,0.1,3,2:21 PM
LV29,0.08,0.1,0,3:35 PM
LV33,0.08,0.1,0,3:16
LV45,0.08,0.1,0,1:49 PM
LV47,0.08,0.1,4,1:44 PM
LV58,0.08,0.1,2,3:15
LV75,0.08,0.1,0,3:32 PM
LV109,0.08,0.1,1,2:39 PM
LV127,0.08,0.1,0,3:28 PM
LV160,0.08,0.1,2,12:32 PM
LV178,0.08,0.1,0,3:23 PM
LV186,0.08,0.1,0,13:15
LV205,0.08,0.1,0,2:48 PM
LV215,0.08,0.1,0,13:24
R13,0.08,0.1,0,10:57 AM
R14,0.08,0.1,1,10:54 AM
R23,0.08,0.1,1,10:53 AM
R26,0.08,0.1,0,10:39 AM
R38,0.08,0.1,1,10:47 AM
R41,0.08,0.1,0,11:00 AM
R54,0.08,0.1,0,10:24 AM
R61,0.08,0.1,2,10:32 AM
R76,0.08,0.1,1,10:19 AM
R105,0.08,0.1,0,10:13 AM
R127,0.08,0.1,0,10:07 AM
R141,0.08,0.1,1,10:04 AM
R175,0.08,0.1,1,9:53 AM
R201,0.08,0.1,0,9:47 AM
R212,0.08,0.1,1,9:47 AM
